abaisser	abaisser	V;INF
abaisser	abaissant	V;PRES;GER
abaisser	abaissé	V;PST;PP
abaisser	abaisse	V;PRES;SG;1P
abaisser	abaisses	V;PRES;SG;2P
abaisser	abaisse	V;PRES;SG;3P
abaisser	abaissons	V;PRES;PL;1P
abaisser	abaissez	V;PRES;PL;2P
abaisser	abaissent	V;PRES;PL;3P
abattre	abattre	V;INF
abattre	abattant	V;PRES;GER
abattre	abattu	V;PST;PP
abattre	abats	V;PRES;SG;1P
abattre	abats	V;PRES;SG;2P
abattre	abat	V;PRES;SG;3P
abattre	abattons	V;PRES;PL;1P
abattre	abattez	V;PRES;PL;2P
abattre	abattent	V;PRES;PL;3P
abstenir	abstenir	V;INF
abstenir	abstenant	V;PRES;GER
abstenir	abstenu	V;PST;PP
abstenir	abstiens	V;PRES;SG;1P
abstenir	abstiens	V;PRES;SG;2P
abstenir	abstient	V;PRES;SG;3P
abstenir	abstenons	V;PRES;PL;1P
abstenir	abstenez	V;PRES;PL;2P
abstenir	abstiennent	V;PRES;PL;3P
accepter	accepter	V;INF
accepter	acceptant	V;PRES;GER
accepter	accepté	V;PST;PP
accepter	accepte	V;PRES;SG;1P
accepter	acceptes	V;PRES;SG;2P
accepter	accepte	V;PRES;SG;3P
accepter	acceptons	V;PRES;PL;1P
accepter	acceptez	V;PRES;PL;2P
accepter	acceptent	V;PRES;PL;3P
accompagner	accompagner	V;INF
accompagner	accompagnant	V;PRES;GER
accompagner	accompagné	V;PST;PP
accompagner	accompagne	V;PRES;SG;1P
accompagner	accompagnes	V;PRES;SG;2P
accompagner	accompagne	V;PRES;SG;3P
accompagner	accompagnons	V;PRES;PL;1P
accompagner	accompagnez	V;PRES;PL;2P
accompagner	accompagnent	V;PRES;PL;3P
accorder	accorder	V;INF
accorder	accordant	V;PRES;GER
accorder	accordé	V;PST;PP
accorder	accorde	V;PRES;SG;1P
accorder	accordes	V;PRES;SG;2P
accorder	accorde	V;PRES;SG;3P
accorder	accordons	V;PRES;PL;1P
accorder	accordez	V;PRES;PL;2P
accorder	accordent	V;PRES;PL;3P
accrocher	accrocher	V;INF
accrocher	accrochant	V;PRES;GER
accrocher	accroché	V;PST;PP
accrocher	accroche	V;PRES;SG;1P
accrocher	accroches	V;PRES;SG;2P
accrocher	accroche	V;PRES;SG;3P
accrocher	accrochons	V;PRES;PL;1P
accrocher	accrochez	V;PRES;PL;2P
accrocher	accrochent	V;PRES;PL;3P
accueillir	accueillir	V;INF
accueillir	accueillant	V;PRES;GER
accueillir	accueilli	V;PST;PP
accueillir	accueille	V;PRES;SG;1P
accueillir	accueilles	V;PRES;SG;2P
accueillir	accueille	V;PRES;SG;3P
accueillir	accueillons	V;PRES;PL;1P
accueillir	accueillez	V;PRES;PL;2P
accueillir	accueillent	V;PRES;PL;3P
accuser	accuser	V;INF
accuser	accusant	V;PRES;GER
accuser	accusé	V;PST;PP
accuser	accuse	V;PRES;SG;1P
accuser	accuses	V;PRES;SG;2P
accuser	accuse	V;PRES;SG;3P
accuser	accusons	V;PRES;PL;1P
accuser	accusez	V;PRES;PL;2P
accuser	accusent	V;PRES;PL;3P
acheter	acheter	V;INF
acheter	achetant	V;PRES;GER
acheter	acheté	V;PST;PP
acheter	achète	V;PRES;SG;1P
acheter	achètes	V;PRES;SG;2P
acheter	achète	V;PRES;SG;3P
acheter	achetons	V;PRES;PL;1P
acheter	achetez	V;PRES;PL;2P
acheter	achètent	V;PRES;PL;3P
achever	achever	V;INF
achever	achevant	V;PRES;GER
achever	achevé	V;PST;PP
achever	achève	V;PRES;SG;1P
achever	achèves	V;PRES;SG;2P
achever	achève	V;PRES;SG;3P
achever	achevons	V;PRES;PL;1P
achever	achevez	V;PRES;PL;2P
achever	achèvent	V;PRES;PL;3P
acquérir	acquérir	V;INF
acquérir	acquérant	V;PRES;GER
acquérir	acquis	V;PST;PP
acquérir	acquiers	V;PRES;SG;1P
acquérir	acquiers	V;PRES;SG;2P
acquérir	acquiert	V;PRES;SG;3P
acquérir	acquérons	V;PRES;PL;1P
acquérir	acquérez	V;PRES;PL;2P
acquérir	acquièrent	V;PRES;PL;3P
admettre	admettre	V;INF
admettre	admettant	V;PRES;GER
admettre	admis	V;PST;PP
admettre	admets	V;PRES;SG;1P
admettre	admets	V;PRES;SG;2P
admettre	admet	V;PRES;SG;3P
admettre	admettons	V;PRES;PL;1P
admettre	admettez	V;PRES;PL;2P
admettre	admettent	V;PRES;PL;3P
admirer	admirer	V;INF
admirer	admirant	V;PRES;GER
admirer	admiré	V;PST;PP
admirer	admire	V;PRES;SG;1P
admirer	admires	V;PRES;SG;2P
admirer	admire	V;PRES;SG;3P
admirer	admirons	V;PRES;PL;1P
admirer	admirez	V;PRES;PL;2P
admirer	admirent	V;PRES;PL;3P
adorer	adorer	V;INF
adorer	adorant	V;PRES;GER
adorer	adoré	V;PST;PP
adorer	adore	V;PRES;SG;1P
adorer	adores	V;PRES;SG;2P
adorer	adore	V;PRES;SG;3P
adorer	adorons	V;PRES;PL;1P
adorer	adorez	V;PRES;PL;2P
adorer	adorent	V;PRES;PL;3P
adresser	adresser	V;INF
adresser	adressant	V;PRES;GER
adresser	adressé	V;PST;PP
adresser	adresse	V;PRES;SG;1P
adresser	adresses	V;PRES;SG;2P
adresser	adresse	V;PRES;SG;3P
adresser	adressons	V;PRES;PL;1P
adresser	adressez	V;PRES;PL;2P
adresser	adressent	V;PRES;PL;3P
affaiblir	affaiblir	V;INF
affaiblir	affaiblissant	V;PRES;GER
affaiblir	affaibli	V;PST;PP
affaiblir	affaiblis	V;PRES;SG;1P
affaiblir	affaiblis	V;PRES;SG;2P
affaiblir	affaiblit	V;PRES;SG;3P
affaiblir	affaiblissons	V;PRES;PL;1P
affaiblir	affaiblissez	V;PRES;PL;2P
affaiblir	affaiblissent	V;PRES;PL;3P
agacer	agacer	V;INF
agacer	agaçant	V;PRES;GER
agacer	agacé	V;PST;PP
agacer	agace	V;PRES;SG;1P
agacer	agaces	V;PRES;SG;2P
agacer	agace	V;PRES;SG;3P
agacer	agaçons	V;PRES;PL;1P
agacer	agacez	V;PRES;PL;2P
agacer	agacent	V;PRES;PL;3P
agir	agir	V;INF
agir	agissant	V;PRES;GER
agir	agi	V;PST;PP
agir	agis	V;PRES;SG;1P
agir	agis	V;PRES;SG;2P
agir	agit	V;PRES;SG;3P
agir	agissons	V;PRES;PL;1P
agir	agissez	V;PRES;PL;2P
agir	agissent	V;PRES;PL;3P
aider	aider	V;INF
aider	aidant	V;PRES;GER
aider	aidé	V;PST;PP
aider	aide	V;PRES;SG;1P
aider	aides	V;PRES;SG;2P
aider	aide	V;PRES;SG;3P
aider	aidons	V;PRES;PL;1P
aider	aidez	V;PRES;PL;2P
aider	aident	V;PRES;PL;3P
aimer	aimer	V;INF
aimer	aimant	V;PRES;GER
aimer	aimé	V;PST;PP
aimer	aime	V;PRES;SG;1P
aimer	aimes	V;PRES;SG;2P
aimer	aime	V;PRES;SG;3P
