abɛse	abɛse	V;INF
abɛse	abɛsan	V;PRES;GER
abɛse	abɛse	V;PST;PP
abɛse	abɛs	V;PRES;SG;1P
abɛse	abɛs	V;PRES;SG;2P
abɛse	abɛs	V;PRES;SG;3P
abɛse	abɛsɔn	V;PRES;PL;1P
abɛse	abɛsɛz	V;PRES;PL;2P
abɛse	abɛs	V;PRES;PL;3P
abatr	abatr	V;INF
abatr	abatan	V;PRES;GER
abatr	abaty	V;PST;PP
abatr	aba	V;PRES;SG;1P
abatr	aba	V;PRES;SG;2P
abatr	aba	V;PRES;SG;3P
abatr	abatɔn	V;PRES;PL;1P
abatr	abatɛz	V;PRES;PL;2P
abatr	aba	V;PRES;PL;3P
abstɛnir	abstɛnir	V;INF
abstɛnir	abstɛnan	V;PRES;GER
abstɛnir	abstɛny	V;PST;PP
abstɛnir	abstjɛn	V;PRES;SG;1P
abstɛnir	abstjɛn	V;PRES;SG;2P
abstɛnir	abstj	V;PRES;SG;3P
abstɛnir	abstɛnɔn	V;PRES;PL;1P
abstɛnir	abstənɛz	V;PRES;PL;2P
abstɛnir	abstjɛn	V;PRES;PL;3P
aksɛpte	aksɛpte	V;INF
aksɛpte	aksɛptan	V;PRES;GER
aksɛpte	aksɛpte	V;PST;PP
aksɛpte	aksɛpt	V;PRES;SG;1P
aksɛpte	aksɛpt	V;PRES;SG;2P
aksɛpte	aksɛpt	V;PRES;SG;3P
aksɛpte	aksɛptɔn	V;PRES;PL;1P
aksɛpte	aksɛptɛz	V;PRES;PL;2P
aksɛpte	aksɛpt	V;PRES;PL;3P
akkɔmpaɲe	akkɔmpaɲe	V;INF
akkɔmpaɲe	akkɔmpaɲan	V;PRES;GER
akkɔmpaɲe	akkɔmpaɲe	V;PST;PP
akkɔmpaɲe	akkɔmpaɲ	V;PRES;SG;1P
akkɔmpaɲe	akkɔmpaɲ	V;PRES;SG;2P
akkɔmpaɲe	akkɔmpaɲ	V;PRES;SG;3P
akkɔmpaɲe	akkɔmpaɲɔn	V;PRES;PL;1P
akkɔmpaɲe	akkɔmpaɲɛz	V;PRES;PL;2P
akkɔmpaɲe	akkɔmpaɲ	V;PRES;PL;3P
akkɔrde	akkɔrde	V;INF
akkɔrde	akkɔrdan	V;PRES;GER
akkɔrde	akkɔrde	V;PST;PP
akkɔrde	akkɔrd	V;PRES;SG;1P
akkɔrde	akkɔrd	V;PRES;SG;2P
akkɔrde	akkɔrd	V;PRES;SG;3P
akkɔrde	akkɔrdɔn	V;PRES;PL;1P
akkɔrde	akkɔrdɛz	V;PRES;PL;2P
akkɔrde	akkɔrd	V;PRES;PL;3P
akkrɔʃe	akkrɔʃe	V;INF
akkrɔʃe	akkrɔʃan	V;PRES;GER
akkrɔʃe	akkrɔʃe	V;PST;PP
akkrɔʃe	akkrɔʃ	V;PRES;SG;1P
akkrɔʃe	akkrɔʃ	V;PRES;SG;2P
akkrɔʃe	akkrɔʃ	V;PRES;SG;3P
akkrɔʃe	akkrɔʃɔn	V;PRES;PL;1P
akkrɔʃe	akkrɔʃɛz	V;PRES;PL;2P
akkrɔʃe	akkrɔʃ	V;PRES;PL;3P
akkɥɛjlir	akkɥɛjlir	V;INF
akkɥɛjlir	akkɥɛjlan	V;PRES;GER
akkɥɛjlir	akkɥɛjli	V;PST;PP
akkɥɛjlir	akkɥɛjl	V;PRES;SG;1P
akkɥɛjlir	akkɥɛjl	V;PRES;SG;2P
akkɥɛjlir	akkɥɛjl	V;PRES;SG;3P
akkɥɛjlir	akkɥɛjlɔn	V;PRES;PL;1P
akkɥɛjlir	akkɥɛjlɛz	V;PRES;PL;2P
akkɥɛjlir	akkɥɛjl	V;PRES;PL;3P
akkyze	akkyze	V;INF
akkyze	akkyzan	V;PRES;GER
akkyze	akkyze	V;PST;PP
akkyze	akkyz	V;PRES;SG;1P
akkyze	akkyz	V;PRES;SG;2P
akkyze	akkyz	V;PRES;SG;3P
akkyze	akkyzɔn	V;PRES;PL;1P
akkyze	akkyzɛz	V;PRES;PL;2P
akkyze	akkyz	V;PRES;PL;3P
aʃɛte	aʃɛte	V;INF
aʃɛte	aʃɛtan	V;PRES;GER
aʃɛte	aʃɛte	V;PST;PP
aʃɛte	aʃɛ	V;PRES;SG;1P
aʃɛte	aʃɛt	V;PRES;SG;2P
